stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share
NVDA,3/31/2023,7192,4648,2140,2209,2043,2043,2524,2140,2490,0.82,44460,19940,24520,1690,3.4274,64.6274,28.4066,29.7553,8.332,4.5951,5.9695,1.0695
NVDA,12/31/2022,6051,3833,1256,1288,1414,1414,1682,1256,2507,0.57,41182,19081,22101,589,3.5156,63.3449,23.368,20.7569,6.3979,3.4335,4.446,0.691
NVDA,9/30/2022,5931,3177,6014,613,680,680,1007,601,2499,0.27,40488,19139,21349,213,3.3877,53.566,11.4652,10.1332,3.1852,1.6795,2.19,0.0493
NVDA,6/30/2022,6704,2915,499,475,656,656,877,499,2516,0.26,43476,19625,23851,874,3.6205,43.4815,9.7852,7.4433,2.7504,1.5089,1.9552,0.3372
NVDA,3/31/2022,8288,5431,1868,1805,1618,1618,2202,1868,2537,0.64,45212,18892,26320,1897,5.3173,65.5285,19.5222,22.5386,6.1474,3.5787,4.3416,0.54
NVDA,12/31/2021,7643,5000,2970,2865,3002,3002,3279,2970,2535,1.18,44187,17575,26612,702,6.6503,65.4193,39.2778,38.8591,11.2806,6.7939,7.993,1.0913
NVDA,9/30/2021,7103,4631,2671,2638,2464,2464,2969,2671,2538,0.97,40632,16834,23798,-4340,7.1445,65.1978,34.6896,37.6038,10.3538,6.0642,7.0923,0.5072
NVDA,6/30/2021,6507,4215,2444,2394,2374,2374,2730,2444,2532,0.94,38650,17503,21147,4650,5.8017,64.7764,36.4838,37.5596,11.2262,6.1423,7.3979,0.986
NVDA,3/31/2021,5661,3629,1956,2044,1912,1912,2237,1956,2528,0.76,30796,12022,18774,131,4.5272,64.1053,33.775,34.5522,10.1843,6.2086,7.729,0.6234
NVDA,12/31/2020,5003,3157,1507,1471,1457,1457,1795,1507,2510,0.58,28791,11898,16893,-1404,4.0904,63.1021,29.1225,30.1219,8.6249,5.0606,6.3744,0.7153
