stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share,Closing Price Before Release,Closing Price After Release,Price Change (%),Quarterly Returns,Quarter_label
MSFT,2019-09-30,33055,22649,12686,12686,10678,10678,15657,12686,7710,1.38,278955,172894,106061,1761,2.8545,68.5191,32.3037,38.3785,10.0678,3.8279,6.1887,1.3532,137.73,137.07,-0.479198431714221,-0.00479198431714221,2019Q3
MSFT,2019-06-30,33717,23305,12405,12596,13187,13817,15329,12405,7753,1.7,286556,184226,102330,144,2.5288,69.1194,39.1108,36.7915,12.8867,4.6019,7.8033,1.5512,133.96,135.68,1.2839653627948633,0.012839653627948632,2019Q2
MSFT,2019-03-31,30571,20401,10341,10486,8809,8809,13267,10341,7744,1.14,263281,168417,94864,4571,2.9685,66.7332,28.8149,33.8262,9.2859,3.3459,5.4562,1.4208,117.94,119.02,0.9157198575546874,0.009157198575546874,2019Q1
NVDA,2023-12-31,22103,16791,13615,14106,12286,12286,14002,13615,2494,4.92,65728,22750,42978,17761,4.1713,75.9671,55.5852,61.598,28.5867,18.6922,23.8855,4.5088,495.22,481.68,-2.7341383627478737,-0.027341383627478736,2023Q4
NVDA,2023-09-30,18120,13400,10417,10522,9243,9243,10789,10417,2494,3.71,54148,20883,33265,363,3.5884,73.9514,51.0099,57.489,27.786,17.0699,22.1538,2.8354,434.99,447.82,2.94949309179521,0.0294949309179521,2023Q3
NVDA,2023-06-30,13507,9462,6800,6981,6188,6188,7165,6800,2499,2.48,49555,22054,27501,803,2.7866,70.0526,45.8133,50.3443,22.501,12.4871,17.2094,2.4207,408.22,424.13,3.897408260251817,0.03897408260251817,2023Q2
NVDA,2023-03-31,7192,4648,2140,2209,2043,2043,2524,2140,2490,0.82,44460,19940,24520,1690,3.4274,64.6274,28.4066,29.7553,8.332,4.5951,5.9695,1.0695,273.83,279.65,2.125406273965597,0.021254062739655966,2023Q1
NVDA,2022-12-31,6051,3833,1256,1288,1414,1414,1682,1256,2507,0.57,41182,19081,22101,589,3.5156,63.3449,23.368,20.7569,6.3979,3.4335,4.446,0.691,146.14,143.15,-2.045983303681388,-0.020459833036813882,2022Q4
NVDA,2022-09-30,5931,3177,6014,613,680,680,1007,601,2499,0.27,40488,19139,21349,213,3.3877,53.566,11.4652,10.1332,3.1852,1.6795,2.19,0.0493,122.2,125.12,2.3895253682487736,0.023895253682487738,2022Q3
NVDA,2022-06-30,6704,2915,499,475,656,656,877,499,2516,0.26,43476,19625,23851,874,3.6205,43.4815,9.7852,7.4433,2.7504,1.5089,1.9552,0.3372,155.42,145.23,-6.556427744177068,-0.06556427744177068,2022Q2
NVDA,2022-03-31,8288,5431,1868,1805,1618,1618,2202,1868,2537,0.64,45212,18892,26320,1897,5.3173,65.5285,19.5222,22.5386,6.1474,3.5787,4.3416,0.54,276.9,267.12,-3.5319609967497194,-0.035319609967497195,2022Q1
NVDA,2021-12-31,7643,5000,2970,2865,3002,3002,3279,2970,2535,1.18,44187,17575,26612,702,6.6503,65.4193,39.2778,38.8591,11.2806,6.7939,7.993,1.0913,295.86,301.21,1.8082877036436036,0.018082877036436035,2021Q4
NVDA,2021-09-30,7103,4631,2671,2638,2464,2464,2969,2671,2538,0.97,40632,16834,23798,-4340,7.1445,65.1978,34.6896,37.6038,10.3538,6.0642,7.0923,0.5072,205.17,207.42,1.0966515572452114,0.010966515572452113,2021Q3
NVDA,2021-06-30,6507,4215,2444,2394,2374,2374,2730,2444,2532,0.94,38650,17503,21147,4650,5.8017,64.7764,36.4838,37.5596,11.2262,6.1423,7.3979,0.986,801.07,808.48,0.9250127953861669,0.009250127953861669,2021Q2
NVDA,2021-03-31,5661,3629,1956,2044,1912,1912,2237,1956,2528,0.76,30796,12022,18774,131,4.5272,64.1053,33.775,34.5522,10.1843,6.2086,7.729,0.6234,514.87,552.47,7.302814302639506,0.07302814302639506,2021Q1
